id;year;issue;article;name;inclusion;reason
1;2024;1;1;Bini;FALSE;no original research
2;2024;1;2;Walker;TRUE;
3;2024;1;3;Antão;TRUE;
4;2024;1;4;Aragoni da Silva;TRUE;
5;2024;1;5;Yan;TRUE;
6;2024;1;6;Murakami;TRUE;
7;2024;1;7;Skopal;FALSE;no original research
8;2024;1;8;Carney;FALSE;qualitative research
9;2024;1;9;Hammert;TRUE;
10;2024;1;10;Refalo;TRUE;
11;2024;2;1;Diouf;FALSE;qualitative research
12;2024;2;2;Zhao;TRUE;
13;2024;2;3;Rogerson;TRUE;
14;2024;2;4;Kasović;TRUE;
15;2024;2;5;Post;TRUE;
16;2024;2;6;Lindsay;FALSE;qualitative research
17;2024;2;7;Hammes;TRUE;
18;2024;2;8;Dennis;TRUE;
19;2024;2;9;Thompson;TRUE;
20;2024;2;10;Brauers;TRUE;
21;2024;3;1;Ambrutis;TRUE;
22;2024;3;2;Keller;TRUE;
23;2024;3;3;Martínez-Lemos;FALSE;no original research
24;2024;3;4;Woodforde;TRUE;
25;2024;3;5;Legg;TRUE;
26;2024;3;6;Carpio-Rivera;TRUE;
27;2024;3;7;Cross;TRUE;
28;2024;3;8;Robinson;TRUE;
29;2024;3;9;Marino;TRUE;
30;2024;4;1;Lethole;TRUE;
31;2024;4;1;Dugdale;TRUE;
32;2024;4;1;Brinkmans;TRUE;
33;2024;4;1;Neupert;TRUE;
34;2024;4;1;Cavalli;FALSE;no original research
35;2024;4;1;Li ;TRUE;
36;2024;4;1;Casado;TRUE;
37;2024;4;1;Wang;TRUE;
38;2024;4;1;Bezuglov;TRUE;
